Created as New Dataset,Nylon (6) GF
wavelength_sample,%Transmitance_sample
4000,99.66
3999,99.66
3998,99.67
3997,99.67
3996,99.68
3995,99.68
3994,99.68
3993,99.69
3992,99.69
3991,99.69
3990,99.69
3989,99.69
3988,99.69
3987,99.69
3986,99.69
3985,99.69
3984,99.69
3983,99.69
3982,99.69
3981,99.69
3980,99.7
3979,99.7
3978,99.7
3977,99.7
3976,99.7
3975,99.7
3974,99.71
3973,99.71
3972,99.71
3971,99.71
3970,99.71
3969,99.71
3968,99.71
3967,99.71
3966,99.71
3965,99.71
3964,99.72
3963,99.72
3962,99.72
3961,99.72
3960,99.72
3959,99.71
3958,99.71
3957,99.71
3956,99.71
3955,99.71
3954,99.71
3953,99.71
3952,99.71
3951,99.72
3950,99.72
3949,99.72
3948,99.72
3947,99.72
3946,99.73
3945,99.73
3944,99.73
3943,99.73
3942,99.73
3941,99.73
3940,99.73
3939,99.73
3938,99.73
3937,99.73
3936,99.73
3935,99.73
3934,99.73
3933,99.73
3932,99.73
3931,99.73
3930,99.73
3929,99.74
3928,99.74
3927,99.74
3926,99.75
3925,99.75
3924,99.75
3923,99.74
3922,99.74
3921,99.74
3920,99.74
3919,99.75
3918,99.75
3917,99.75
3916,99.75
3915,99.75
3914,99.75
3913,99.75
3912,99.75
3911,99.75
3910,99.75
3909,99.75
3908,99.75
3907,99.75
3906,99.75
3905,99.75
3904,99.76
3903,99.76
3902,99.76
3901,99.76
3900,99.76
3899,99.77
3898,99.77
3897,99.77
3896,99.77
3895,99.76
3894,99.77
3893,99.77
3892,99.77
3891,99.77
3890,99.78
3889,99.77
3888,99.77
3887,99.76
3886,99.76
3885,99.76
3884,99.76
3883,99.77
3882,99.77
3881,99.77
3880,99.77
3879,99.77
3878,99.77
3877,99.77
3876,99.77
3875,99.77
3874,99.77
3873,99.77
3872,99.77
3871,99.77
3870,99.77
3869,99.77
3868,99.77
3867,99.77
3866,99.77
3865,99.77
3864,99.77
3863,99.77
3862,99.77
3861,99.76
3860,99.76
3859,99.76
3858,99.76
3857,99.76
3856,99.76
3855,99.76
3854,99.76
3853,99.77
3852,99.78
3851,99.78
3850,99.77
3849,99.76
3848,99.75
3847,99.75
3846,99.75
3845,99.75
3844,99.76
3843,99.76
3842,99.76
3841,99.77
3840,99.77
3839,99.77
3838,99.77
3837,99.77
3836,99.77
3835,99.77
3834,99.77
3833,99.76
3832,99.76
3831,99.76
3830,99.76
3829,99.75
3828,99.75
3827,99.75
3826,99.75
3825,99.75
3824,99.75
3823,99.75
3822,99.75
3821,99.76
3820,99.76
3819,99.77
3818,99.77
3817,99.77
3816,99.77
3815,99.77
3814,99.77
3813,99.77
3812,99.76
3811,99.76
3810,99.76
3809,99.76
3808,99.76
3807,99.76
3806,99.76
3805,99.76
3804,99.76
3803,99.76
3802,99.76
3801,99.77
3800,99.77
3799,99.77
3798,99.77
3797,99.76
